Food Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),Sodium (mg),Vitamin A (mcg RAE),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Vitamin B5 (Pantothenic Acid) (mg),Vitamin B6 (Pyridoxine) (mg),Vitamin B7 (Biotin) (mcg),Vitamin B9 (Folate) (mcg),Vitamin B12 (Cobalamin) (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Choline (mg),Lutein + Zeaxanthin (mcg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (mcg),Zinc (mg),Alanine (g),Arginine (g),Aspartic Acid (g),Cystine (g),Glutamic Acid (g),Glycine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Arsenic (ppm/ug),Cadmium (ppm/ug),Mercury (ppm/ug),Lead (ppm/ug)
Red Cabbage (Raw ) Total,0.3,0.015,0,0.07,0.025,0.175,0.025,0.0005,0.0003,0.0025,0.002,0.002,0.01,0.3,0,0.55,0,0.001,0.375,0.1,0.325,0.45,0.0003,0.0075,0.15,0.0022,0.3,2.425,0.005,0.0025,0.0008,0.0008,0.0022,0.0002,0.0018,0.0006,0.0003,0.0006,0.0009,0.0008,0.0002,0.0006,0.0006,0.0006,0.0006,0.0002,0.0003,0.0008,0.0003,0.0005,0.0001,0.0005
Celery (Raw ) Total,0.14,0,0,0.04,0.02,0.8,0.2,0,0,0,0.002,0,0,0.2,0,0.06,0,0.002,0.3,0.06,0.8,0.4,0,0.002,0.1,0,0.2,2.6,0,0.002,0.0001,0.0001,0.0005,0,0.0004,0.0001,0.0001,0.0001,0.0002,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.002,0.004,0.0004,0.004
Romaine Lettuce (Raw ) Total,0.1667,0.0133,0.0033,0.0333,0.02,0.0667,4.3333,0.0007,0.0007,0.0033,0.0013,0.001,0.01,1.3333,0,0.04,0,0.0013,1,0.1,23,0.3333,0.0003,0.01,0.1333,0.0013,0.3,2.4667,0.0033,0.0023,0.0007,0.0007,0.002,0.0001,0.0016,0.0005,0.0003,0.0005,0.0008,0.0007,0.0001,0.0005,0.0005,0.0005,0.0005,0.0001,0.0003,0.0007,0.0007,0.0017,0.0002,0.001
Kale (Raw ) Total,0.3,0.02,0.0033,0.0567,0.0367,0.4,4.8,0.001,0.0013,0.01,0.002,0.002,0.01,1.2,0,0.8,0,0.0133,4,0.1333,39.3333,2.2,0.0007,0.0133,0.3333,0.0067,0.5333,4.4667,0.0067,0.0033,0.001,0.001,0.003,0.0002,0.0024,0.0008,0.0004,0.0008,0.0012,0.001,0.0002,0.0008,0.0008,0.0008,0.0008,0.0002,0.0004,0.001,0.0007,0.0017,0.0002,0.001
King Of Kale Salad Total,401.7,7.7,24.1,42.7,6.6,694.0,295.0,0.19,0.22,1.2,0.65,0.33,3.2,110.6,0.1,48.3,0.1,3.06,173.1,23.4,1890.0,183.6,0.21,2.96,61.5,1.04,204.4,497.0,6.9,1.54,0.323,0.514,0.758,0.117,1.513,0.346,0.185,0.35,0.566,0.388,0.149,0.349,0.454,0.36,0.299,0.108,0.257,0.417,0.02,0.05,0.005,0.03
King Of Kale Salad % Daily Value (RDI),20.07%,15.39%,30.89%,15.52%,23.60%,30.28%,32.82%,15.83%,16.92%,7.51%,13.00%,19.41%,10.67%,27.65%,4.17%,53.73%,0.50%,20.40%,144.54%,4.26%,,22.95%,23.33%,16.45%,14.64%,45.22%,16.35%,16.57%,12.55%,14.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Strawberry (Amaou) Total,0.38,0.009,0.001,0.095,0.014,0.01,0.01,0.0003,0.0002,0.004,0.001,0.0004,0.009,0.9,0,0.65,0,0.002,0.02,0.06,0.26,0.17,0.0005,0.003,0.13,0.003,0.24,1.7,0.004,0.001,0.0004,0.0004,0.0014,0.0001,0.0011,0.0004,0.0002,0.0004,0.0005,0.0004,0.0001,0.0004,0.0004,0.0004,0.0004,0.0001,0.0002,0.0004,0.0001,0.0001,0,0.0001
Strawberry (Amaou) % Daily Value (RDI),0.019%,0.018%,0.0013%,0.0345%,0.05%,0.0004%,0.0011%,0.025%,0.0154%,0.025%,0.02%,0.0235%,0.03%,0.225%,0%,0.7222%,0%,0.0133%,0.0167%,0.0109%,0.0026%,0.0212%,,,,,,0.0567%,0.0073%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Mandarin Orange (Mikan) Total,0.46,0.007,0.001,0.119,0.01,0.01,0.83,0.001,0.0003,0.003,0.002,0.0008,0.005,0.22,0,0.32,0,0.004,0,0.08,0,0.17,0.0003,0.002,0.11,0.0003,0.12,1.5,0,0.001,0.0004,0.0004,0.001,0.0001,0.0008,0.0003,0.0001,0.0003,0.0004,0.0004,0.0001,0.0003,0.0003,0.0003,0.0003,0.0001,0.0001,0.0004,0,0,0,0.0001
Mandarin Orange (Mikan) % Daily Value (RDI),0.023%,0.014%,0.0013%,0.0433%,0.0358%,0.0004%,0.0923%,0.0833%,0.0231%,0.0187%,0.04%,0.0471%,0.0167%,0.055%,0%,0.3559%,0%,0.0267%,0%,0.0146%,,0.0213%,0.0333%,0.0111%,0.0262%,0.013%,0.0096%,0.05%,0%,0.0091%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Pineapple Total,0.53,0.006,0.001,0.137,0.015,0.01,0.03,0.0009,0.0002,0.002,0.002,0.001,0.001,0.12,0,0.35,0,0.001,0.007,0.06,0.44,0.13,0.001,0.002,0.14,0.009,0.08,1.5,0.001,0.001,0.0003,0.0003,0.0009,0.0001,0.0007,0.0002,0.0001,0.0002,0.0004,0.0003,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0003,0,0,0,0.0001
Pineapple % Daily Value (RDI),0.0265%,0.012%,0.0013%,0.0498%,0.0537%,0.0004%,0.0034%,0.075%,0.0154%,0.0125%,0.04%,0.0588%,0.0034%,0.03%,0%,0.3893%,0%,0.0067%,0.0058%,0.0109%,,0.0163%,0.1111%,0.0111%,0.0333%,0.3913%,0.0064%,0.05%,0.0018%,0.0091%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Apple (Jonagold) Total,0.56,0.002,0.002,0.155,0.015,0,0.01,0.0001,0.0001,0.001,0.0006,0.0004,0.005,0.02,0,0.04,0,0.002,0.02,0.03,0.01,0.03,0.0002,0.001,0.03,0.0002,0.11,1.1,0,0,0.0001,0.0001,0.0003,0,0.0002,0.0001,0,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0,0.0001,0,0,0,0.0001
Apple (Jonagold) % Daily Value (RDI),0.028%,0.004%,0.0026%,0.0563%,0.0537%,0%,0.0011%,0.0083%,0.0077%,0.0063%,0.012%,0.0235%,0.0167%,0.005%,0%,0.0445%,0%,0.0133%,0.0167%,0.0054%,,0.0037%,0.0222%,0.0056%,0.0072%,0.0087%,0.0088%,0.0367%,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
